Date,Amount,Category
2018-02-17,8802,Gift
2018-02-18,23,Social Life
2018-02-18,8600,Beauty
2018-02-19,24,Social Life
2018-02-19,5946,Gift
2018-02-20,26.1,Social Life
2018-02-20,4294,Other
2018-02-21,21.8,Social Life
2018-02-21,5702,Gift
2018-02-22,24.2,Social Life
2018-02-22,8579,Other
2018-02-23,22.3,Social Life
2018-02-23,9078,Salary
2018-02-24,19.7,Social Life
2018-02-24,9082,Salary
2018-02-25,20.8,Social Life
2018-02-25,7195,Beauty
2018-02-26,17.9,Social Life
2018-02-26,4197,Allowance
2018-02-27,20.1,Social Life
2018-02-27,9214,Transportation
2018-02-28,20.9,Social Life
2018-02-28,5260,Beauty
2018-03-01,21.2,Social Life
2018-03-01,3838,Education
2018-03-02,20.4,Social Life
2018-03-02,146,Gift
2018-03-03,29,Social Life
2018-03-03,8741,Apparel
2018-03-04,34.7,Social Life
2018-03-04,3746,Beauty
2018-03-05,34,Social Life
2018-03-05,8421,Allowance
2018-03-06,30.9,Social Life
2018-03-06,3428,Apparel
2018-03-07,29.6,Social Life
2018-03-07,740,Cash
2018-03-08,26.1,Social Life
2018-03-08,5610,Salary
2018-03-09,18.5,Social Life
2018-03-09,7331,Gift
2018-03-10,21.2,Social Life
2018-03-10,4175,Other
2018-03-11,22.4,Social Life
2018-03-11,8107,Cash
2018-03-12,21.4,Social Life
2018-03-12,7858,Other
2018-03-13,30.5,Social Life
2018-03-13,79,Gift
2018-03-14,32,Social Life
2018-03-14,6998,Food
2018-03-15,32.7,Social Life
2018-03-15,2763,Gift
2018-03-16,27.4,Social Life
2018-03-17,18.9,Social Life
2018-03-17,1958,Gift
2018-03-18,19.4,Social Life
2018-03-18,2675,Transportation
2018-03-19,22.2,Social Life
2018-03-19,2662,Other
2018-03-20,30.2,Social Life
2018-03-20,7786,Beauty
2018-03-21,31.8,Social Life
2018-03-21,4991,Other
2018-03-22,31.4,Social Life
2018-03-22,9947,Transportation
2018-03-23,18.5,Social Life
2018-03-23,1407,Cash
2018-03-24,22.2,Social Life
2018-03-25,27.5,Social Life
2018-03-25,4687,Gift
2018-03-26,25.8,Social Life
2018-03-26,5496,Gift
2018-03-27,25.2,Social Life
2018-03-27,111,Salary
2018-03-28,19.1,Social Life
2018-03-28,9881,Other
2018-03-29,19.6,Social Life
2018-03-29,1803,Salary
2018-03-30,21.4,Social Life
2018-03-30,9629,Education
2018-03-31,20.7,Social Life
2018-03-31,7111,Education
2018-04-01,28.3,Social Life
2018-04-01,9944,Education
2018-04-02,23,Social Life
2018-04-02,4113,Gift
2018-04-03,16.5,Social Life
2018-04-03,172,Gift
2018-04-04,18.8,Social Life
2018-04-04,9363,Salary
2018-04-05,20,Social Life
2018-04-05,4157,Cash
2018-04-06,20.6,Social Life
2018-04-06,4672,Apparel
2018-04-07,19.8,Social Life
2018-04-07,4183,Apparel
2018-04-08,20.3,Social Life
2018-04-08,6036,Cash
2018-04-09,26.6,Social Life
2018-04-09,1898,Food
2018-04-10,21.5,Social Life
2018-04-11,22.3,Social Life
2018-04-11,402,Food
2018-04-12,26.5,Social Life
2018-04-12,9959,Gift
2018-04-13,27.1,Social Life
2018-04-13,6458,Education
2018-04-14,30,Social Life
2018-04-14,1622,Other
2018-04-15,28.2,Social Life
2018-04-15,5201,Apparel
2018-04-16,17.3,Social Life
2018-04-16,5381,Cash
2018-04-17,16.8,Social Life
2018-04-17,5096,Household
2018-04-18,17.5,Social Life
2018-04-18,3924,Cash
2018-04-19,19.2,Social Life
2018-04-19,5215,Cash
2018-04-20,20.3,Social Life
2018-04-20,9972,Household
2018-04-21,20.6,Social Life
2018-04-21,7790,Food
2018-04-22,23.7,Social Life
2018-04-22,7883,Beauty
2018-04-23,24.3,Social Life
2018-04-23,5343,Transportation
2018-04-24,26.4,Social Life
2018-04-24,1139,Food
2018-04-25,16,Social Life
2018-04-25,6856,Beauty
2018-04-26,14.5,Social Life
2018-04-26,1183,Household
2018-04-27,14.2,Social Life
2018-04-27,2891,Allowance
2018-04-28,16.5,Social Life
2018-04-28,9617,Food
2018-04-29,15.7,Social Life
2018-04-29,3343,Salary
2018-04-30,16,Social Life
2018-04-30,938,Food
2018-05-01,16.7,Social Life
2018-05-01,281,Household
2018-05-02,19.8,Social Life
2018-05-02,7634,Transportation
2018-05-03,22.5,Social Life
2018-05-03,7176,Food
2018-05-04,22.9,Social Life
2018-05-04,9980,Education
2018-05-05,18.8,Social Life
2018-05-05,2098,Allowance
2018-05-06,15.7,Social Life
2018-05-06,2555,Apparel
2018-05-07,14.7,Social Life
2018-05-07,6527,Household
2018-05-08,15.3,Social Life
2018-05-08,2496,Other
2018-05-09,15.3,Social Life
2018-05-10,18,Social Life
2018-05-10,525,Cash
2018-05-11,15.1,Social Life
2018-05-11,3725,Allowance
2018-05-12,15.1,Social Life
2018-05-12,660,Food
2018-05-13,13.6,Social Life
2018-05-13,3137,Gift
2018-05-14,15.3,Social Life
2018-05-14,309,Other
2018-05-15,18,Social Life
2018-05-15,8362,Cash
2018-05-16,18.6,Social Life
2018-05-16,7647,Education
2018-05-17,22,Social Life
2018-05-17,6009,Food
2018-05-18,22.1,Social Life
2018-05-18,6347,Food
2018-05-19,17.8,Social Life
2018-05-19,7158,Education
2018-05-20,15.2,Social Life
2018-05-20,8041,Other
2018-05-21,11.3,Social Life
2018-05-21,7149,Allowance
2018-05-22,13.5,Social Life
2018-05-22,7456,Allowance
2018-05-23,16.1,Social Life
2018-05-23,7115,Education
2018-05-24,16,Social Life
2018-05-24,6449,Household
2018-05-25,16.5,Social Life
2018-05-26,16.7,Social Life
2018-05-26,2901,Beauty
2018-05-27,19.6,Social Life
2018-05-28,19.5,Social Life
2018-05-28,9535,Other
2018-05-29,18,Social Life
2018-05-29,1569,Education
2018-05-30,18.4,Social Life
2018-05-30,7529,Beauty
2018-05-31,12.9,Social Life
2018-05-31,5909,Food
2018-06-01,14.9,Social Life
2018-06-01,1003,Other
2018-06-02,12.4,Social Life
2018-06-02,6520,Cash
2018-06-03,11.9,Social Life
2018-06-03,1437,Beauty
2018-06-04,11.7,Social Life
2018-06-04,3932,Gift
2018-06-05,12.9,Social Life
2018-06-05,325,Gift
2018-06-06,12.9,Social Life
2018-06-06,5295,Salary
2018-06-07,12.4,Social Life
2018-06-07,1368,Cash
2018-06-08,12.5,Social Life
2018-06-08,3745,Salary
2018-06-09,15.7,Social Life
2018-06-09,5962,Gift
2018-06-10,15.9,Social Life
2018-06-10,4058,Transportation
2018-06-11,14.3,Social Life
2018-06-11,9930,Education
2018-06-12,16.9,Social Life
2018-06-12,6388,Other
2018-06-13,14,Social Life
2018-06-13,9219,Gift
2018-06-14,13.6,Social Life
2018-06-14,3705,Education
2018-06-15,13.7,Social Life
2018-06-15,9543,Transportation
2018-06-16,16,Social Life
2018-06-16,3291,Other
2018-06-17,13.1,Social Life
2018-06-17,5224,Education
2018-06-18,13.8,Social Life
2018-06-18,5339,Allowance
2018-06-19,13.4,Social Life
2018-06-19,355,Food
2018-06-20,11.3,Social Life
2018-06-20,5885,Gift
2018-06-21,10.6,Social Life
2018-06-21,2618,Apparel
2018-06-22,13.9,Social Life
2018-06-22,569,Food
2018-06-23,12.7,Social Life
2018-06-23,3125,Cash
2018-06-24,12.5,Social Life
2018-06-25,11.3,Social Life
2018-06-25,404,Cash
2018-06-26,11.6,Social Life
2018-06-26,1627,Education
2018-06-27,14,Social Life
2018-06-27,9411,Beauty
2018-06-28,13.7,Social Life
2018-06-28,9814,Salary
2018-06-29,15.2,Social Life
2018-06-29,731,Apparel
2018-06-30,14,Social Life
2018-06-30,699,Cash
2018-07-01,11.4,Social Life
2018-07-01,9578,Transportation
2018-07-02,14.2,Social Life
2018-07-02,4210,Gift
2018-07-03,15.2,Social Life
2018-07-03,7488,Household
2018-07-04,12.6,Social Life
2018-07-04,8900,Other
2018-07-05,10.2,Social Life
2018-07-05,6879,Transportation
2018-07-06,13.9,Social Life
2018-07-06,3326,Apparel
2018-07-07,13.7,Social Life
2018-07-07,8937,Education
2018-07-08,13.6,Social Life
2018-07-08,570,Food
2018-07-09,13.2,Social Life
2018-07-09,4391,Transportation
2018-07-10,15.4,Social Life
2018-07-10,3498,Other
2018-07-11,12.9,Social Life
2018-07-11,2935,Gift
2018-07-12,11.9,Social Life
2018-07-12,4174,Beauty
2018-07-13,13.3,Social Life
2018-07-13,8035,Gift
2018-07-14,13.3,Social Life
2018-07-14,8187,Beauty
2018-07-15,10.5,Social Life
2018-07-15,1199,Household
2018-07-16,10,Social Life
2018-07-16,7616,Other
2018-07-17,11,Social Life
2018-07-17,1518,Household
2018-07-18,8.3,Social Life
2018-07-18,4566,Household
2018-07-19,10.7,Social Life
2018-07-19,3102,Salary
2018-07-20,11.2,Social Life
2018-07-20,9459,Education
2018-07-21,11.7,Social Life
2018-07-21,981,Apparel
2018-07-22,14.2,Social Life
2018-07-22,6037,Salary
2018-07-23,14.5,Social Life
2018-07-23,8224,Apparel
2018-07-24,16,Social Life
2018-07-24,633,Apparel
2018-07-25,16.7,Social Life
2018-07-25,3683,Education
2018-07-26,14.4,Social Life
2018-07-26,1221,Gift
2018-07-27,17,Social Life
2018-07-27,9420,Food
2018-07-28,14.6,Social Life
2018-07-28,9757,Gift
2018-07-29,11.6,Social Life
2018-07-29,9032,Transportation
2018-07-30,12.8,Social Life
2018-07-30,248,Education
2018-07-31,14,Social Life
2018-08-01,17.1,Social Life
2018-08-01,896,Gift
2018-08-02,15.4,Social Life
2018-08-02,7076,Gift
2018-08-03,15.5,Social Life
2018-08-03,6438,Allowance
2018-08-04,15.1,Social Life
2018-08-04,1598,Household
2018-08-05,16.9,Social Life
2018-08-05,3715,Allowance
2018-08-06,14.2,Social Life
2018-08-06,2263,Other
2018-08-07,15.9,Social Life
2018-08-07,696,Cash
2018-08-08,18.2,Social Life
2018-08-08,6254,Food
2018-08-09,19.5,Social Life
2018-08-09,9770,Food
2018-08-10,19.5,Social Life
2018-08-10,4235,Apparel
2018-08-11,19.8,Social Life
2018-08-12,15.6,Social Life
2018-08-12,7208,Cash
2018-08-13,14.1,Social Life
2018-08-13,4065,Household
2018-08-14,17,Social Life
2018-08-14,7611,Gift
2018-08-15,14.3,Social Life
2018-08-15,3014,Cash
2018-08-16,13.1,Social Life
2018-08-16,3466,Transportation
2018-08-17,13.7,Social Life
2018-08-17,3442,Salary
2018-08-18,18.2,Social Life
2018-08-18,2961,Transportation
2018-08-19,19.8,Social Life
2018-08-19,7427,Other
2018-08-20,22.3,Social Life
2018-08-20,1070,Household
2018-08-21,17.8,Social Life
2018-08-21,2865,Allowance
2018-08-22,15,Social Life
2018-08-22,2259,Beauty
2018-08-23,22.6,Social Life
2018-08-23,8872,Education
2018-08-24,23.7,Social Life
2018-08-25,15.8,Social Life
2018-08-25,1069,Household
2018-08-26,15,Social Life
2018-08-26,1555,Beauty
2018-08-27,23.5,Social Life
2018-08-27,5915,Gift
2018-08-28,25.7,Social Life
2018-08-28,8259,Other
2018-08-29,26.5,Social Life
2018-08-29,3348,Salary
2018-08-30,15.1,Social Life
2018-08-30,9376,Beauty
2018-08-31,13.9,Social Life
2018-08-31,6743,Salary
2018-09-01,20.5,Social Life
2018-09-01,2485,Cash
2018-09-02,21.4,Social Life
2018-09-02,265,Beauty
2018-09-03,14.9,Social Life
2018-09-03,6347,Household
2018-09-04,15,Social Life
2018-09-04,5483,Food
2018-09-05,18.9,Social Life
2018-09-05,3430,Other
2018-09-06,11.7,Social Life
2018-09-06,3658,Apparel
2018-09-07,15.5,Social Life
2018-09-08,17.7,Social Life
2018-09-08,5058,Household
2018-09-09,11,Social Life
2018-09-09,9694,Food
2018-09-10,14.9,Social Life
2018-09-10,4687,Beauty
2018-09-11,13.1,Social Life
2018-09-11,5235,Other
2018-09-12,13.7,Social Life
2018-09-12,4610,Household
2018-09-13,15.4,Social Life
2018-09-13,4689,Food
2018-09-14,15.6,Social Life
2018-09-14,9334,Beauty
2018-09-15,23.9,Social Life
2018-09-16,23.7,Social Life
2018-09-17,24.3,Social Life
2018-09-17,8115,Gift
2018-09-18,15.9,Social Life
2018-09-18,6299,Other
2018-09-19,13.5,Social Life
2018-09-19,6872,Gift
2018-09-20,15.3,Social Life
2018-09-20,3317,Gift
2018-09-21,19.3,Social Life
2018-09-21,1501,Apparel
2018-09-22,20.5,Social Life
2018-09-22,8057,Education
2018-09-23,22.5,Social Life
2018-09-23,1679,Beauty
2018-09-24,23.2,Social Life
2018-09-24,8962,Allowance
2018-09-25,16.3,Social Life
2018-09-25,1342,Salary
2018-09-26,14.8,Social Life
2018-09-26,2949,Cash
2018-09-27,13.7,Social Life
2018-09-27,6621,Household
2018-09-28,18.4,Social Life
2018-09-29,12.3,Social Life
2018-09-29,4873,Food
2018-09-30,13.3,Social Life
2018-10-01,16.2,Social Life
2018-10-01,9773,Beauty
2018-10-02,25.6,Social Life
2018-10-02,3442,Other
2018-10-03,24.1,Social Life
2018-10-03,3186,Food
2018-10-04,13.8,Social Life
2018-10-04,623,Beauty
2018-10-05,15.9,Social Life
2018-10-05,7142,Salary
2018-10-06,21.2,Social Life
2018-10-06,8718,Allowance
2018-10-07,21.7,Social Life
2018-10-07,3660,Food
2018-10-08,15.6,Social Life
2018-10-08,9427,Apparel
2018-10-09,13.5,Social Life
2018-10-09,943,Beauty
2018-10-10,15,Social Life
2018-10-10,2102,Household
2018-10-11,21.2,Social Life
2018-10-11,9173,Food
2018-10-12,25.4,Social Life
2018-10-12,8717,Other
2018-10-13,19,Social Life
2018-10-13,1539,Transportation
2018-10-14,15,Social Life
2018-10-15,16.4,Social Life
2018-10-15,5297,Apparel
2018-10-16,15.6,Social Life
2018-10-16,1197,Food
2018-10-17,13.7,Social Life
2018-10-17,6173,Transportation
2018-10-18,22,Social Life
2018-10-18,215,Education
2018-10-19,17.4,Social Life
2018-10-19,3946,Salary
2018-10-20,15.1,Social Life
2018-10-20,5578,Gift
2018-10-21,14.6,Social Life
2018-10-21,930,Transportation
2018-10-22,16.9,Social Life
2018-10-22,7262,Transportation
2018-10-23,15.9,Social Life
2018-10-23,6892,Beauty
2018-10-24,21.3,Social Life
2018-10-24,93,Household
2018-10-25,29.7,Social Life
2018-10-25,8756,Gift
2018-10-26,33,Social Life
2018-10-26,4012,Gift
2018-10-27,22.7,Social Life
2018-10-27,9569,Cash
2018-10-28,21.6,Social Life
2018-10-28,5970,Cash
2018-10-29,30.3,Social Life
2018-10-29,8422,Apparel
2018-10-30,19,Social Life
2018-10-30,4739,Salary
2018-10-31,14.6,Social Life
2018-10-31,7462,Salary
2018-11-01,15.9,Social Life
2018-11-01,9444,Allowance
2018-11-02,20.4,Social Life
2018-11-02,3561,Beauty
2018-11-03,29.3,Social Life
2018-11-04,33.7,Social Life
2018-11-04,5634,Food
2018-11-05,35.2,Social Life
2018-11-05,1513,Salary
2018-11-06,38.1,Social Life
2018-11-06,9464,Apparel
2018-11-07,24.5,Social Life
2018-11-07,6593,Household
2018-11-08,26.3,Social Life
2018-11-08,9824,Education
2018-11-09,25,Social Life
2018-11-09,9503,Other
2018-11-10,17.9,Social Life
2018-11-10,3902,Apparel
2018-11-11,18.1,Social Life
2018-11-11,4483,Food
2018-11-12,23.3,Social Life
2018-11-12,3973,Salary
2018-11-13,31.2,Social Life
2018-11-13,1166,Transportation
2018-11-14,32.8,Social Life
2018-11-14,1192,Beauty
2018-11-15,28,Social Life
2018-11-15,1072,Other
2018-11-16,19.7,Social Life
2018-11-17,22.1,Social Life
2018-11-17,761,Cash
2018-11-18,16.3,Social Life
2018-11-18,1191,Salary
2018-11-19,20.1,Social Life
2018-11-19,9642,Food
2018-11-20,21.7,Social Life
2018-11-21,19.6,Social Life
2018-11-21,9361,Other
2018-11-22,30.8,Social Life
2018-11-23,36.8,Social Life
2018-11-23,8300,Cash
2018-11-24,38.1,Social Life
2018-11-24,5060,Salary
2018-11-25,17.6,Social Life
2018-11-26,21.2,Social Life
2018-11-26,2486,Allowance
2018-11-27,17.2,Social Life
2018-11-27,8771,Salary
2018-11-28,20.7,Social Life
2018-11-28,2176,Allowance
2018-11-29,26.1,Social Life
2018-11-29,5500,Apparel
2018-11-30,34.5,Social Life
2018-11-30,5871,Salary
2018-12-01,18.6,Social Life
2018-12-01,8605,Education
2018-12-02,20.1,Social Life
2018-12-02,8547,Gift
2018-12-03,22.4,Social Life
2018-12-03,9432,Salary
2018-12-04,19.1,Social Life
2018-12-04,7158,Cash
2018-12-05,19.2,Social Life
2018-12-05,9847,Salary
2018-12-06,28,Social Life
2018-12-06,5594,Gift
2018-12-07,17.9,Social Life
2018-12-07,4141,Apparel
2018-12-08,18.1,Social Life
2018-12-08,4505,Apparel
2018-12-09,16,Social Life
2018-12-09,6084,Transportation
2018-12-10,18.5,Social Life
2018-12-10,7777,Household
2018-12-11,20.6,Social Life
2018-12-11,8127,Education
2018-12-12,33,Social Life
2018-12-12,9287,Salary
2018-12-13,35.2,Social Life
2018-12-13,2487,Household
2018-12-14,24,Social Life
2018-12-14,4776,Gift
2018-12-15,26,Social Life
2018-12-15,4306,Household
2018-12-16,28,Social Life
2018-12-16,7402,Allowance
2018-12-17,23,Social Life
2018-12-17,2577,Beauty
2018-12-18,19,Social Life
2018-12-18,6443,Cash
2018-12-19,19.1,Social Life
2018-12-19,6457,Allowance
2018-12-20,18,Social Life
2018-12-20,7129,Gift
2018-12-21,19.4,Social Life
2018-12-21,7827,Allowance
2018-12-22,32.5,Social Life
2018-12-22,8521,Household
2018-12-23,32.6,Social Life
2018-12-23,7794,Salary
2018-12-24,18.1,Social Life
2018-12-24,3354,Gift
2018-12-25,19.7,Social Life
2018-12-25,442,Beauty
2018-12-26,28,Social Life
2018-12-26,3526,Beauty
2018-12-27,28,Social Life
2018-12-27,8726,Food
2018-12-28,23.8,Social Life
2018-12-28,5674,Beauty
2018-12-29,31.4,Social Life
2018-12-29,5998,Apparel
2018-12-30,22,Social Life
2018-12-30,3279,Gift
2018-12-31,35.8,Social Life
2019-01-01,23,Social Life
2019-01-01,4757,Gift
2019-01-02,18.9,Social Life
2019-01-02,3244,Education
2019-01-03,25.4,Social Life
2019-01-03,1114,Beauty
2019-01-04,28,Social Life
2019-01-04,4716,Gift
2019-01-05,19.2,Social Life
2019-01-05,4495,Household
2019-01-06,21.5,Social Life
2019-01-06,3545,Apparel
2019-01-07,28.8,Social Life
2019-01-07,4087,Beauty
2019-01-08,37.3,Social Life
2019-01-08,1393,Cash
2019-01-09,24.6,Social Life
2019-01-09,4825,Allowance
2019-01-10,21.3,Social Life
2019-01-10,6534,Apparel
2019-01-11,17.9,Social Life
2019-01-11,1516,Salary
2019-01-12,17.5,Social Life
2019-01-12,4041,Household
2019-01-13,18.7,Social Life
2019-01-13,2861,Education
2019-01-14,18.1,Social Life
2019-01-14,9657,Apparel
2019-01-15,19.7,Social Life
2019-01-15,1426,Education
2019-01-16,22.1,Social Life
2019-01-16,4756,Cash
2019-01-17,19.6,Social Life
2019-01-17,6410,Food
2019-01-18,18,Social Life
2019-01-18,6174,Other
2019-01-19,19.9,Social Life
2019-01-19,2828,Apparel
2019-01-20,28.5,Social Life
2019-01-20,9762,Household
2019-01-21,23,Social Life
2019-01-21,7156,Allowance
2019-01-22,37,Social Life
2019-01-22,7935,Cash
2019-01-23,19,Social Life
2019-01-23,1735,Salary
2019-01-24,19.4,Social Life
2019-01-25,35,Social Life
2019-01-25,8794,Apparel
2019-01-26,27.7,Social Life
2019-01-26,6956,Household
2019-01-27,23.9,Social Life
2019-01-27,2544,Gift
2019-01-28,25.6,Social Life
2019-01-28,9487,Gift
2019-01-29,27.7,Social Life
2019-01-29,1213,Beauty
2019-01-30,24.3,Social Life
2019-01-30,2221,Other
2019-01-31,38.6,Social Life
2019-01-31,2842,Allowance
2019-02-01,41.2,Social Life
2019-02-01,2565,Beauty
2019-02-02,22,Social Life
2019-02-02,7209,Education
2019-02-03,22.5,Social Life
2019-02-03,429,Allowance
2019-02-04,22.3,Social Life
2019-02-04,8032,Other
2019-02-05,25.5,Social Life
2019-02-05,8156,Other
2019-02-06,36.6,Social Life
2019-02-06,8816,Apparel
2019-02-07,35.7,Social Life
2019-02-08,43.2,Social Life
2019-02-08,6620,Beauty
2019-02-09,28,Social Life
2019-02-09,9234,Education
2019-02-10,25.5,Social Life
2019-02-11,21.6,Social Life
2019-02-11,4540,Cash
2019-02-12,21.8,Social Life
2019-02-12,3745,Apparel
2019-02-13,23.3,Social Life
2019-02-13,7944,Beauty
2019-02-14,34.3,Social Life
2019-02-14,8100,Household
2019-02-15,31.2,Social Life
2019-02-15,7758,Household
2019-02-16,43,Social Life
2019-02-16,8670,Apparel
2019-02-17,20.2,Social Life
2019-02-17,1710,Transportation
2019-02-18,20.3,Social Life
2019-02-19,22.2,Social Life
2019-02-20,24,Social Life
2019-02-20,4017,Allowance
2019-02-21,34.4,Social Life
2019-02-21,4168,Beauty
2019-02-22,32.9,Social Life
2019-02-22,8175,Salary
2019-02-23,21.6,Social Life
2019-02-23,4277,Other
2019-02-24,26.5,Social Life
2019-02-24,6155,Apparel
2019-02-25,33.2,Social Life
2019-02-25,8898,Transportation
2019-02-26,38.6,Social Life
2019-02-26,1411,Household
2019-02-27,24.4,Social Life
2019-02-27,2312,Education
2019-02-28,28.3,Social Life
2019-02-28,6613,Transportation
2019-03-01,35.2,Social Life
2019-03-01,7134,Apparel
2019-03-02,28.7,Social Life
2019-03-02,7852,Education
2019-03-03,35.6,Social Life
2019-03-03,7618,Transportation
2019-03-04,37.2,Social Life
2019-03-04,1306,Household
2019-03-05,25.5,Social Life
2019-03-05,6585,Allowance
2019-03-06,31.5,Social Life
2019-03-06,2389,Apparel
2019-03-07,30.2,Social Life
2019-03-07,4686,Other
2019-03-08,29,Social Life
2019-03-08,8119,Cash
2019-03-09,21.4,Social Life
2019-03-09,5754,Apparel
2019-03-10,28.5,Social Life
2019-03-10,8387,Gift
2019-03-11,32.1,Social Life
2019-03-12,23.5,Social Life
2019-03-12,7194,Apparel
2019-03-13,20,Social Life
2019-03-14,21,Social Life
2019-03-14,220,Salary
2019-03-15,20,Social Life
2019-03-15,5058,Apparel
2019-03-16,21.8,Social Life
2019-03-16,7564,Transportation
2019-03-17,24.3,Social Life
2019-03-17,1240,Gift
2019-03-18,30.9,Social Life
2019-03-19,21.6,Social Life
2019-03-19,5140,Allowance
2019-03-20,22.2,Social Life
2019-03-20,9036,Food
2019-03-21,20.2,Social Life
2019-03-21,5701,Beauty
2019-03-22,20.5,Social Life
2019-03-22,8515,Apparel
2019-03-23,17.6,Social Life
2019-03-23,3624,Apparel
2019-03-24,18.6,Social Life
2019-03-24,4984,Transportation
2019-03-25,17.7,Social Life
2019-03-25,1034,Allowance
2019-03-26,18,Social Life
2019-03-26,8330,Other
2019-03-27,18.6,Social Life
2019-03-28,18.6,Social Life
2019-03-28,6155,Salary
2019-03-29,25.9,Social Life
2019-03-30,19.8,Social Life
2019-03-30,1274,Household
2019-03-31,18.7,Social Life
2019-03-31,7352,Salary
2019-04-01,17.9,Social Life
2019-04-01,2388,Salary
2019-04-02,17.3,Social Life
2019-04-02,1349,Allowance
2019-04-03,18.1,Social Life
2019-04-03,5262,Household
2019-04-04,14.6,Social Life
2019-04-04,6824,Allowance
2019-04-05,14.1,Social Life
2019-04-05,8748,Food
2019-04-06,15.7,Social Life
2019-04-06,938,Apparel
2019-04-07,16,Social Life
2019-04-08,21.6,Social Life
2019-04-08,1181,Beauty
2019-04-09,21.4,Social Life
2019-04-10,23.8,Social Life
2019-04-10,8691,Food
2019-04-11,21.7,Social Life
2019-04-11,8129,Beauty
2019-04-12,16.6,Social Life
2019-04-12,2151,Cash
2019-04-13,16.7,Social Life
2019-04-13,3299,Apparel
2019-04-14,18.1,Social Life
2019-04-14,9057,Allowance
2019-04-15,14.5,Social Life
2019-04-15,6752,Allowance
2019-04-16,14.7,Social Life
2019-04-16,2695,Gift
2019-04-17,16.4,Social Life
2019-04-17,7367,Transportation
2019-04-18,16.5,Social Life
2019-04-18,7391,Beauty
2019-04-19,22.7,Social Life
2019-04-19,5535,Beauty
2019-04-20,23.8,Social Life
2019-04-20,4144,Apparel
2019-04-21,24.6,Social Life
2019-04-21,5613,Transportation
2019-04-22,23.6,Social Life
2019-04-22,4379,Apparel
2019-04-23,19.8,Social Life
2019-04-23,6516,Food
2019-04-24,19.8,Social Life
2019-04-25,18,Social Life
2019-04-26,17.6,Social Life
2019-04-26,9965,Other
2019-04-27,19,Social Life
2019-04-27,9341,Allowance
2019-04-28,17.5,Social Life
2019-04-28,5084,Food
2019-04-29,17,Social Life
2019-04-29,5358,Household
2019-04-30,19.9,Social Life
2019-04-30,1579,Cash
2019-05-01,18.5,Social Life
2019-05-01,7751,Apparel
2019-05-02,18.7,Social Life
2019-05-02,468,Gift
2019-05-03,17.8,Social Life
2019-05-04,17,Social Life
2019-05-04,7060,Household
2019-05-05,17.6,Social Life
2019-05-05,4402,Food
2019-05-06,18.7,Social Life
2019-05-06,2489,Salary
2019-05-07,17,Social Life
2019-05-07,1166,Beauty
2019-05-08,18.8,Social Life
2019-05-08,5834,Food
2019-05-09,17.5,Social Life
2019-05-09,7390,Salary
2019-05-10,19.5,Social Life
2019-05-10,288,Apparel
2019-05-11,16.6,Social Life
2019-05-11,5474,Allowance
2019-05-12,19.1,Social Life
2019-05-12,3041,Household
2019-05-13,21.2,Social Life
2019-05-13,2304,Cash
2019-05-14,20.2,Social Life
2019-05-14,6207,Household
2019-05-15,17.9,Social Life
2019-05-15,3313,Household
2019-05-16,14.3,Social Life
2019-05-17,16,Social Life
2019-05-17,4010,Education
2019-05-18,17.7,Social Life
2019-05-18,818,Household
2019-05-19,18.6,Social Life
2019-05-19,8029,Apparel
2019-05-20,19.1,Social Life
2019-05-20,6836,Beauty
2019-05-21,13.7,Social Life
2019-05-21,8357,Apparel
2019-05-22,17.5,Social Life
2019-05-22,5787,Salary
2019-05-23,16.1,Social Life
2019-05-23,8874,Household
2019-05-24,15.2,Social Life
2019-05-24,3954,Other
2019-05-25,17.3,Social Life
2019-05-25,579,Household
2019-05-26,14.9,Social Life
2019-05-26,4226,Food
2019-05-27,18.4,Social Life
2019-05-27,3436,Gift
2019-05-28,17.2,Social Life
2019-05-28,7861,Other
2019-05-29,12.2,Social Life
2019-05-29,5029,Education
2019-05-30,13.9,Social Life
2019-05-30,9902,Education
2019-05-31,14,Social Life
2019-05-31,2537,Gift
2019-06-01,15.3,Social Life
2019-06-01,7479,Gift
2019-06-02,15,Social Life
2019-06-02,2256,Transportation
2019-06-03,15.1,Social Life
2019-06-03,1919,Cash
2019-06-04,16.6,Social Life
2019-06-04,7785,Gift
2019-06-05,16.5,Social Life
2019-06-06,16.1,Social Life
2019-06-06,8188,Education
2019-06-07,13.5,Social Life
2019-06-07,7749,Beauty
2019-06-08,13,Social Life
2019-06-09,13.6,Social Life
2019-06-09,6317,Food
2019-06-10,11.8,Social Life
2019-06-10,6288,Household
2019-06-11,14.5,Social Life
2019-06-12,14,Social Life
2019-06-12,273,Cash
2019-06-13,14.1,Social Life
2019-06-13,532,Transportation
2019-06-14,13.5,Social Life
2019-06-14,1080,Household
2019-06-15,12.1,Social Life
2019-06-15,6981,Cash
2019-06-16,11.9,Social Life
2019-06-17,11.9,Social Life
2019-06-17,2277,Household
2019-06-18,14.2,Social Life
2019-06-18,2637,Transportation
2019-06-19,14,Social Life
2019-06-19,4713,Food
2019-06-20,17.9,Social Life
2019-06-20,3967,Allowance
2019-06-21,19.1,Social Life
2019-06-21,3790,Allowance
2019-06-22,15.1,Social Life
2019-06-22,7249,Other
2019-06-23,13.8,Social Life
2019-06-23,8721,Allowance
2019-06-24,13.7,Social Life
2019-06-24,1369,Gift
